Kanji,Kana,Romaji,English,Tags,,,,
色,いろ,iro,colors,color,,,,
青,あお,ao,blue,color,,,,
赤,あか,aka,red,color,,,,
茶色,ちゃいろ,chairo,brown,color,,,,
橙色,だいだいいろ,daidaiiro,orange,color,,,,
灰色,はいいろ,haiiro,grey,color,,,,
黄色,きいろ,kiiro,yellow,color,,,,
黄緑,きみどり,kimidori,light green,color,,,,
黒,くろ,kuro,black,color,,,,
緑,みどり,midori,green,color,,,,
水色,みずいろ,mizuiro,light blue,color,,,,
桃色,ももいろ,momoiro,pink,color,,,,
紫,むらさき,murasaki,purple,color,,,,
白,しろ,shiro,white,color,,,,
好きな色は何ですか。,すきないろはなんですか。,Sukina iro wa nan desu ka?,What is your favorite color?,color; conversation,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,